idClient,datetime,amount,latitude,longitude,city
1000,2024-12-28 21:51:59,440.25,19.432514589129784,-99.13322783186878,Mexico City
1000,2024-12-26 01:52:32,493.53,19.429815969613916,-99.1367246629608,Mexico City
1000,2024-12-18 03:29:13,244.49,19.432799973968965,-99.13407577016326,Mexico City
1000,2024-12-17 11:22:15,11.0,19.402127797738824,-99.10020223784652,Mexico City
1000,2024-12-07 00:23:02,30.65,19.433309728246385,-99.13264931970855,Mexico City
1000,2024-12-12 18:39:57,273.38,19.438376188221877,-99.15021237304056,Mexico City
1000,2024-12-04 21:07:07,149.36,19.456275927949868,-99.04654505145781,Mexico City
1000,2024-12-31 12:47:45,273.28,19.435268145275593,-99.13357903494874,Mexico City
1000,2024-12-14 21:29:59,423.52,19.427246466098012,-99.11604993114867,Mexico City
1000,2024-12-21 01:38:30,190.32,19.490259572559054,-99.20208398481103,Mexico City
1000,2024-12-18 13:57:51,179.89,19.40626149867769,-99.16958256128805,Mexico City
1000,2024-12-23 13:03:52,129.35,19.4501052316999,-99.12915623319438,Mexico City
1000,2024-12-30 00:52:52,178.21,19.441501949005215,-99.13199517610417,Mexico City
1000,2024-12-22 22:10:31,331.35,19.436448609765776,-99.11565082937241,Mexico City
1000,2024-12-25 07:26:14,378.67,19.484700723933933,-99.20637885102062,Mexico City
1000,2024-12-10 08:11:30,44.32,19.384678867163,-99.05721845817071,Mexico City
1000,2024-12-29 05:01:50,286.76,19.39289352811024,-99.11220467890573,Mexico City
1000,2024-12-16 13:59:17,295.37,19.433467601063715,-99.13296712372092,Mexico City
1000,2024-12-14 13:33:12,177.75,19.433422032841964,-99.13356224987764,Mexico City
1000,2024-12-04 01:08:15,499.63,19.424388182058493,-99.12955825003509,Mexico City
1000,2024-12-01 21:37:02,253.21,19.443745240872424,-99.22233704772447,Mexico City
1000,2024-12-02 12:00:54,316.27,19.433374016993138,-99.13365591738446,Mexico City
1000,2024-12-18 13:57:40,376.95,19.43321234153912,-99.12423778294445,Mexico City
1000,2024-12-14 08:29:09,59.23,19.434447805142387,-99.11532905142414,Mexico City
1000,2024-12-05 23:20:30,303.46,19.4290248838659,-99.13048106292726,Mexico City
1000,2024-12-22 03:39:02,152.77,19.432361348260212,-99.14217994109438,Mexico City
1000,2024-12-05 03:00:26,129.25,19.433132374464066,-99.13247643908541,Mexico City
1000,2024-12-15 08:53:59,302.49,19.47235236518352,-99.11229170307988,Mexico City
1000,2024-12-08 03:25:50,434.32,19.422085197027176,-99.14776791355303,Mexico City
1000,2024-12-22 04:33:54,76.26,19.449871085698472,-99.12825077928947,Mexico City
1000,2024-12-17 14:35:03,235.14,19.43349699444177,-99.13324862035115,Mexico City
1000,2024-12-31 03:27:32,87.73,19.438129435982713,-99.1502941663897,Mexico City
1000,2024-12-13 10:29:55,89.45,19.469794046228568,-99.05143061333064,Mexico City
1000,2024-12-04 18:38:04,290.22,19.43251137839964,-99.1331853084507,Mexico City
1000,2024-12-10 13:52:06,150.72,19.435975600805445,-99.13023699588591,Mexico City
1000,2024-12-09 14:28:01,275.85,19.353141903849345,-99.09129486156507,Mexico City
1000,2024-12-05 16:40:23,328.11,19.418305366327676,-99.12231658899887,Mexico City
1000,2024-12-15 01:13:02,261.25,19.432569128692414,-99.13328435989592,Mexico City
1000,2025-01-26 06:15:59,485.4,19.42839905962248,-99.1316106057373,Mexico City
1000,2025-01-29 09:35:39,326.16,19.434377010440663,-99.13522605542812,Mexico City
1000,2025-01-29 03:04:12,131.5,19.431702775273003,-99.13315583263223,Mexico City
